"Diameter","Centralized_Eigenvaluecentrality","Density","mean_coreness_Hosts","mean_coreness_Symbs","stdev_coreness_Hosts","stdev_coreness_Symbs","mean_similarityjaccard_Hosts","mean_similarityjaccard_Symbs","sd_similarityjaccard_Hosts","sd_similarityjaccard_Sarasites","1","2","3","4","5"
2.00311209553089,0.985864158325595,0.0822510822510823,5.33333333333333,1,2.06559111797729,0,0.231481481481481,0.231481481481481,0.454256762579498,0.454256762579498,2,1,3,0,0
4.84863629039999,0.951866922588935,0.0146166574738003,5.5625,1,1.72154281893288,0,0.0868317647634175,0.0868317647634175,0.197327675704928,0.197327675704928,25,24,6,6,0
2.65278957260473,0.851875278263063,0.104575163398693,4,1.625,0,0.517549169506766,0.5625,0.5625,0.397162555181245,0.397162555181245,0,4,1,0,0
6,0.872080028777542,0.0441347270615563,4.90909090909091,1,1.37510330190466,0,0.20648038829857,0.20648038829857,0.365336932680184,0.365336932680184,5,5,5,0,0
3.28664468835836,0.864935052177006,0.164835164835165,6,2.16666666666667,0,1.47196014438797,0.75,0.75,0.410187723187772,0.410187723187772,1,5,0,0,0
4.63642281790749,0.944682042883401,0.0183312262958281,5.08695652173913,1,0.996039588400019,0,0.10540265762383,0.10540265762383,0.220960470246976,0.220960470246976,12,19,10,0,0
5.19957740715855,0.962485042161651,0.00849786496427514,4.63265306122449,1,1.03468750417337,0,0.0489779691362365,0.0489779691362365,0.160740418877606,0.160740418877606,34,26,14,0,0
2.00209471464304,0.917840519563482,0.142857142857143,4.66666666666667,1,0.577350269189626,0,0.533333333333333,0.533333333333333,0.489897948556636,0.489897948556636,1,2,1,0,0
3.38702412237465,0.912926542257007,0.0947368421052632,4.6,1,1.34164078649987,0,0.41447619047619,0.41447619047619,0.454256762579498,0.454256762579498,2,2,2,0,0
4.64892004499199,0.951248136653872,0.0265010351966874,3.75,1.08333333333333,0.452267016866645,0.28232985128664,0.172649859445203,0.172649859445203,0.266241105683065,0.266241105683065,6,12,6,0,0
5,0.945345323887433,0.0138957816377171,5.51612903225806,1,1.69058111787901,0,0.0966275911482711,0.0966275911482711,0.186913040738202,0.186913040738202,19,26,11,5,0
5.69150586900503,0.936827694278312,0.00910003345600535,5.91111111111111,1,1.25810503648475,0,0.0641181325051844,0.0641181325051844,0.140110072804799,0.140110072804799,30,51,15,4,0
8.42187132690563,0.958464296612047,0.00874015295267667,3.63636363636364,1,0.532257547857788,0,0.0467616362631859,0.0467616362631859,0.177831188557946,0.177831188557946,26,21,17,0,0
4,0.845073872225856,0.0604838709677419,3.75,1.84615384615385,0.5,1.06818801763811,0.397533369408369,0.397533369408369,0.320182980463796,0.320182980463796,1,6,2,0,0
5,0.957442688451456,0.0129935346180403,6.32608695652174,1,2.00060377359866,0,0.0814348866916485,0.0814348866916485,0.191303127893441,0.191303127893441,34,26,11,0,0
4.26817971760757,0.936160818092242,0.0555555555555556,5.77777777777778,1,1.56347191994114,0,0.271418773270625,0.271418773270625,0.380300012060943,0.380300012060943,5,4,3,0,0
4.55236175912389,0.870527662454219,0.0187590187590188,4.42857142857143,1,0.746420027292179,0,0.106662825710445,0.106662825710445,0.224822263256149,0.224822263256149,10,13,10,0,0
4.91262476983536,0.957719238446135,0.00807013682550163,4.32,1,1.2027180102771,0,0.0570456095835584,0.0570456095835584,0.156404804186579,0.156404804186579,36,30,14,1,0
4.23318496915133,0.886148660799163,0.0407239819004525,5.5,1,0.904534033733291,0,0.228898108064775,0.228898108064775,0.303615776405871,0.303615776405871,8,7,3,0,0
4.48675520806783,0.936286462731991,0.00939107350257176,6.01818181818182,1,1.78979524062587,0,0.0570652409732638,0.0570652409732638,0.154841178936191,0.154841178936191,38,39,16,3,0
3.39720285655964,0.904228436042536,0.0187239117471676,6.75,1,1.64845118348947,0,0.127953859698182,0.127953859698182,0.192209838433398,0.192209838433398,13,27,10,1,0
5.13146717106042,0.899954188636547,0.0177482725917897,5.12,1,1.5088627063675,0,0.100109002562625,0.100109002562625,0.209602805077488,0.209602805077488,17,24,7,0,0
2.12884093326521,0.981145071693793,0.0523076923076923,2,1,0.866025403784439,0,0.189300411522634,0.189300411522634,0.454256762579498,0.454256762579498,7,4,1,0,0
4,0.862848937495772,0.0414781297134238,5.63636363636364,1,0.80903983495589,0,0.218046462261338,0.218046462261338,0.312720510435531,0.312720510435531,7,7,3,0,0
5.99482160905628,0.94588135963306,0.00763290763290763,4.60344827586207,1,1.19853207251897,0,0.0459077541662081,0.0459077541662081,0.147770374558644,0.147770374558644,38,39,20,1,0
4,0.869659246485972,0.0294117647058824,5.25,1,1.06458129484475,0,0.17625195984571,0.17625195984571,0.296304311474641,0.296304311474641,11,12,4,0,0
5,0.915450753263627,0.0314699792960662,5,1,1.60356745147455,0,0.170345048560735,0.170345048560735,0.255933503783895,0.255933503783895,9,9,5,0,0
4.55476746598315,0.904925976778406,0.0331002331002331,5.54545454545455,1.08695652173913,0.934198732993827,0.28810406552003,0.226345050725216,0.226345050725216,0.268061039613742,0.268061039613742,7,15,3,0,0
2.27405886809762,0.853871895020371,0.181818181818182,6,1,0,0,0.555555555555556,0.555555555555556,0.5,0.5,2,3,0,0,0
4,0.924788621955331,0.0408163265306122,5.2,1,1.26491106406735,0,0.144137566137566,0.144137566137566,0.330858664117024,0.330858664117024,11,5,3,0,0
5.50224626715008,0.925558155360194,0.0121993726036947,4.64516129032258,1,0.950381926622983,0,0.0800614071747083,0.0800614071747083,0.183460076514171,0.183460076514171,14,20,16,0,0
4,0.901632141125744,0.0170881749829118,5.73076923076923,1,0.724303378851283,0,0.111598162721026,0.111598162721026,0.195267639566705,0.195267639566705,18,19,9,1,0
3,0.883552498339292,0.0580720092915215,6.71428571428571,1.93333333333333,1.88982236504614,2.46306042692149,0.392474872066709,0.392474872066709,0.319087101718708,0.319087101718708,4,7,2,2,0
4.27902502068891,0.959743391762997,0.0738461538461539,5.33333333333333,1,2.06559111797729,0,0.249603174603175,0.249603174603175,0.393397896234722,0.393397896234722,3,3,2,0,0
2.70019694449783,0.91222721076776,0.153846153846154,5,1.83333333333333,0,1.16904519445001,0.666666666666667,0.666666666666667,0.407491573797606,0.407491573797606,1,3,0,0,0
5.13981416285229,0.913688976292475,0.0164237797825584,5.51724137931035,1,0.870988340711385,0,0.105026682766768,0.105026682766768,0.205273649516576,0.205273649516576,22,23,6,0,0
2,1.05508234553958,0.121212121212121,2.5,1,1,0,0.322916666666667,0.322916666666667,0.52704627669473,0.52704627669473,1,0,2,0,0
5.71274652326716,0.905726760999121,0.00995120698510529,3.97142857142857,1,1.20014004785016,0,0.0700196624419787,0.0700196624419787,0.170842991731272,0.170842991731272,23,27,11,0,0
